1.000000-5  0.000000+0 0.000000+0                                            
 1.345000+6  3.905200-1 1.468600-1 5.184900-2 0.000000+0                      
 1.347000+6  3.657200-1 1.310400-1 4.683100-2 0.000000+0                      
 1.348000+6  3.551500-1 1.302300-1 3.633000-2 0.000000+0                      
 1.350000+6  3.710900-1 1.248200-1 4.008000-2 0.000000+0                      
 1.352000+6  3.579500-1 1.268300-1 3.521800-2 0.000000+0                      
 1.353000+6  3.710600-1 1.303900-1 4.102600-2 0.000000+0                      
 1.354000+6  3.673400-1 1.407000-1 4.026800-2 0.000000+0                      
 1.355000+6  3.501100-1 1.508800-1 3.318100-2 0.000000+0                      
 1.357000+6  3.428200-1 1.302000-1 3.793900-2 0.000000+0                      
 1.360000+6  3.168800-1 1.210300-1 1.474600-2 0.000000+0                      
 1.362000+6  3.091100-1 1.109900-1 3.456500-2 0.000000+0                      
 1.365000+6  3.250000-1 1.316200-1 3.387100-2 0.000000+0                      
 1.366000+6  3.142000-1 1.296700-1 2.572600-2 0.000000+0                      
 1.368000+6  3.126800-1 1.098500-1 2.933800-2 0.000000+0                      
 1.372000+6  2.870200-1 9.939500-2 1.578200-2 0.000000+0                      
 1.375000+6  3.193400-1 1.289900-1 3.610200-2 0.000000+0                      
 1.377000+6  3.208100-1 1.272200-1 1.337500-2 0.000000+0                      
 1.379000+6  3.317800-1 1.074900-1 2.190600-2 0.000000+0                      
 1.381000+6  3.124200-1 1.151100-1 1.656700-2 0.000000+0                      
 1.383000+6  3.125000-1 1.126300-1 2.052000-2 0.000000+0                      
 1.384000+6  3.249600-1 1.073700-1 3.123000-2 0.000000+0                      
 1.388000+6  3.184900-1 1.353900-1 6.632700-3 0.000000+0                      
 1.396000+6  4.316900-1 1.934900-1 2.875800-2 0.000000+0                      
 1.399000+6  4.109100-1 1.790900-1 3.620200-2 0.000000+0                      
 1.400000+6  4.149200-1 1.773600-1 5.188700-2 0.000000+0                      
 1.403000+6  3.856900-1 1.686600-1 3.778900-2 0.000000+0                      
 1.407000+6  4.048700-1 1.632800-1 4.122100-2 0.000000+0                      
 1.409000+6  4.166200-1 1.756700-1 3.715100-2 0.000000+0                      
 1.415000+6  3.745100-1 1.475900-1 2.356600-2 0.000000+0                      
 1.416000+6  3.722800-1 1.325400-1 3.709700-2 0.000000+0                      
 1.421000+6  3.688300-1 1.381800-1 2.555900-2 0.000000+0                      
 1.423000+6  3.629800-1 1.295500-1 2.352100-2 0.000000+0                      
 1.426000+6  3.744000-1 1.281500-1 2.537800-2 0.000000+0                      
 1.428000+6  3.652800-1 1.196100-1 1.768100-2 0.000000+0                      
 1.429000+6  3.662300-1 1.207400-1 4.064100-2 0.000000+0                      
 1.432000+6  3.853500-1 1.335500-1 2.974900-2 0.000000+0                      
 1.433000+6  3.912100-1 1.192800-1 2.553600-2 0.000000+0                      
 1.435000+6  3.519400-1 1.338200-1 2.606200-2 0.000000+0                      
 1.440000+6  3.594000-1 9.903600-2-4.011500-3 0.000000+0                      
 1.441000+6  3.588500-1 9.584100-2 1.163700-2 0.000000+0                      
 1.442000+6  3.390800-1 1.069600-1 5.718000-3 0.000000+0                      
 1.444000+6  3.569600-1 1.177900-1 3.570600-2 0.000000+0                      
 1.446000+6  3.407600-1 1.087900-1 2.020900-2 0.000000+0                      
 1.447000+6  3.582800-1 1.173900-1 4.155900-2 0.000000+0                      
 1.452000+6  3.444700-1 1.468000-1 2.426900-2 0.000000+0                      
 1.454000+6  3.608100-1 1.472800-1 5.011000-2 0.000000+0                      
 1.456000+6  3.658200-1 1.362600-1 2.114400-2 0.000000+0                      
 1.459000+6  3.726900-1 1.382900-1 2.214900-2 0.000000+0                      
